,step,acc,seq_length,seed,model
216,2160,0.9453125,41,42,peepLSTM
217,2170,0.953125,41,42,peepLSTM
218,2180,0.96484375,41,42,peepLSTM
219,2190,0.94921875,41,42,peepLSTM
220,2200,0.953125,41,42,peepLSTM
221,2210,0.94921875,41,42,peepLSTM
222,2220,0.8828125,41,42,peepLSTM
223,2230,0.90625,41,42,peepLSTM
224,2240,0.96484375,41,42,peepLSTM
225,2250,0.9609375,41,42,peepLSTM
226,2260,0.96484375,41,42,peepLSTM
227,2270,0.94140625,41,42,peepLSTM
228,2280,0.93359375,41,42,peepLSTM
229,2290,0.8046875,41,42,peepLSTM
230,2300,0.97265625,41,42,peepLSTM
231,2310,0.94921875,41,42,peepLSTM
232,2320,0.984375,41,42,peepLSTM
233,2330,0.8984375,41,42,peepLSTM
234,2340,0.953125,41,42,peepLSTM
235,2350,0.890625,41,42,peepLSTM
236,2360,0.95703125,41,42,peepLSTM
237,2370,0.90234375,41,42,peepLSTM
238,2380,0.953125,41,42,peepLSTM
239,2390,0.9296875,41,42,peepLSTM
240,2400,0.98828125,41,42,peepLSTM
241,2410,0.98046875,41,42,peepLSTM
242,2420,0.984375,41,42,peepLSTM
243,2430,0.984375,41,42,peepLSTM
244,2440,0.9765625,41,42,peepLSTM
245,2450,0.94921875,41,42,peepLSTM
246,2460,0.98046875,41,42,peepLSTM
247,2470,0.953125,41,42,peepLSTM
248,2480,0.8671875,41,42,peepLSTM
249,2490,0.98828125,41,42,peepLSTM
250,2500,0.98828125,41,42,peepLSTM
251,2510,0.96484375,41,42,peepLSTM
252,2520,0.9609375,41,42,peepLSTM
253,2530,0.921875,41,42,peepLSTM
254,2540,0.8671875,41,42,peepLSTM
255,2550,0.98046875,41,42,peepLSTM
256,2560,0.98828125,41,42,peepLSTM
257,2570,0.96875,41,42,peepLSTM
258,2580,0.94921875,41,42,peepLSTM
259,2590,0.984375,41,42,peepLSTM
260,2600,0.93359375,41,42,peepLSTM
261,2610,0.98046875,41,42,peepLSTM
262,2620,0.9765625,41,42,peepLSTM
263,2630,0.94140625,41,42,peepLSTM
264,2640,0.97265625,41,42,peepLSTM
265,2650,0.95703125,41,42,peepLSTM
266,2660,0.94921875,41,42,peepLSTM
267,2670,0.98828125,41,42,peepLSTM
268,2680,0.9765625,41,42,peepLSTM
269,2690,0.9765625,41,42,peepLSTM
270,2700,0.9609375,41,42,peepLSTM
271,2710,0.90625,41,42,peepLSTM
272,2720,0.9765625,41,42,peepLSTM
273,2730,0.9609375,41,42,peepLSTM
274,2740,0.98046875,41,42,peepLSTM
275,2750,0.984375,41,42,peepLSTM
276,2760,0.97265625,41,42,peepLSTM
277,2770,0.9453125,41,42,peepLSTM
278,2780,0.94921875,41,42,peepLSTM
279,2790,0.95703125,41,42,peepLSTM
280,2800,0.98828125,41,42,peepLSTM
281,2810,0.9921875,41,42,peepLSTM
282,2820,0.98828125,41,42,peepLSTM
283,2830,0.96875,41,42,peepLSTM
284,2840,0.9921875,41,42,peepLSTM
285,2850,0.98046875,41,42,peepLSTM
286,2860,0.984375,41,42,peepLSTM
287,2870,0.9921875,41,42,peepLSTM
288,2880,0.97265625,41,42,peepLSTM
289,2890,0.98828125,41,42,peepLSTM
290,2900,0.984375,41,42,peepLSTM
291,2910,0.97265625,41,42,peepLSTM
292,2920,0.96875,41,42,peepLSTM
293,2930,0.9453125,41,42,peepLSTM
294,2940,0.984375,41,42,peepLSTM
295,2950,0.9921875,41,42,peepLSTM
296,2960,0.984375,41,42,peepLSTM
297,2970,0.9609375,41,42,peepLSTM
298,2980,0.96875,41,42,peepLSTM
299,2990,0.98046875,41,42,peepLSTM
300,3000,0.99609375,41,42,peepLSTM
